query,truth,response
Query: Select all options that are west of Southampton County Virginia? You may choose one or more options. Options: a. Zipcode 23884 b. Zipcode 23882 c. Zipcode 27979 d. Zipcode 23874 e. None of the above,e,"b,d,e"
Query: Select all options that are inside of Washington County Rhode Island? You may choose one or more options. Options: a. Zipcode 02812 b. Zipcode 02881 c. Zipcode 02879 d. Zipcode 02875 e. None of the above,"a,b,c,d",e
Query: Select all options that are adjacent to and southwest of Zipcode 04971? You may choose one or more options. Options: a. Zipcode 04928 b. Zipcode 04953 c. Zipcode 04942 d. Zipcode 04943 e. None of the above,e,e
Query: Select all options that are southwest of Zipcode 73622? You may choose one or more options. Options: a. Zipcode 73024 b. Zipcode 73647 c. Zipcode 73632 d. Zipcode 73601 e. None of the above,e,e
Query: Select all options that are northwest of Liberty County Georgia? You may choose one or more options. Options: a. Wayne County Georgia b. Zipcode 30417 c. Zipcode 29910 d. Zipcode 31320 e. None of the above,e,e
Query: Select all options that are adjacent to and northeast of Zipcode 20706? You may choose one or more options. Options: a. Zipcode 20019 b. Zipcode 20770 c. Zipcode 20769 d. Zipcode 20785 e. None of the above,d,"c,e"
Query: Select all options that are southwest of Zipcode 45614? You may choose one or more options. Options: a. Zipcode 45685 b. Zipcode 45760 c. Zipcode 45741 d. Zipcode 45631 e. None of the above,e,e
Query: Select all options that are west of Custer County Colorado? You may choose one or more options. Options: a. Pueblo County Colorado b. Zipcode 81040 c. Zipcode 81131 d. Huerfano County Colorado e. None of the above,e,e
Query: Select all options that are adjacent to and south of Zipcode 15065? You may choose one or more options. Options: a. Zipcode 16055 b. Zipcode 15014 c. Zipcode 15613 d. Zipcode 15030 e. None of the above,a,e
Query: Select all options that are adjacent to and west of The State of Illinois? You may choose one or more options. Options: a. Zipcode 47993 b. Zipcode 47991 c. Zipcode 63782 d. Zipcode 62324 e. None of the above,"a,b",e
Query: Select all options that are adjacent to and west of Zipcode 75703? You may choose one or more options. Options: a. Zipcode 75709 b. Zipcode 75791 c. Zipcode 75701 d. Zipcode 75707 e. None of the above,b,e
Query: Select all options that are northwest of Zipcode 22060? You may choose one or more options. Options: a. Zipcode 22079 b. Zipcode 22153 c. Zipcode 22191 d. Zipcode 22150 e. None of the above,e,e
Query: Select all options that are adjacent to and south of Zipcode 14813? You may choose one or more options. Options: a. Zipcode 14806 b. Zipcode 14803 c. Zipcode 14739 d. Zipcode 14895 e. None of the above,e,e
