type,query,truth
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 66423 in relation to Zipcode 66834 in terms of geography. Options: a. northwest of b. adjacent to and southwest of c. adjacent to and east of d. adjacent to and south of e. none of the above,c
checkbox,Query: Select all options that are adjacent to and north of Zipcode 33993? You may choose one or more options. Options: a. Zipcode 33990 b. Zipcode 33914 c. Zipcode 33917 d. Zipcode 33955 e. None of the above,b
checkbox,Query: Select all options that are adjacent to and east of The State of Ohio? You may choose one or more options. Options: a. Zipcode 46788 b. Zipcode 46773 c. Zipcode 49262 d. Zipcode 46772 e. None of the above,"a,b,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Sumner County Kansas in relation to The State of Oklahoma in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and north of c. southwest of d. adjacent to and southeast of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Menominee County Wisconsin in relation to Zipcode 54409 in terms of geography. Options: a. north of b. adjacent to and east of c. northeast of d. adjacent to and southeast of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Collin County Texas in relation to Zipcode 75135 in terms of geography. Options: a. adjacent to and southeast of b. adjacent to and northwest of c. adjacent to and west of d. southwest of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 60538 in relation to Zipcode 60585 in terms of geography. Options: a. contains b. northwest of c. west of d. adjacent to and northwest of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of New York in relation to Zipcode 07071 in terms of geography. Options: a. northwest of b. southeast of c. southwest of d. inside of e. none of the above,a
checkbox,Query: Select all options that are adjacent to and east of The State of Georgia? You may choose one or more options. Options: a. Zipcode 36027 b. Zipcode 36863 c. Zipcode 30833 d. Zipcode 36874 e. None of the above,"a,b,d"
yes/no,Is San Mateo County California east of Zipcode 95132?,no
checkbox,Query: Select all options that are southeast of Zipcode 24651? You may choose one or more options. Options: a. Zipcode 24601 b. Zipcode 24602 c. Zipcode 24622 d. Zipcode 24368 e. None of the above,"a,b,c"
yes/no,Is Zipcode 13136 northeast of Zipcode 13072?,no
