query,truth,response
Is Zipcode 14610 adjacent to and southeast of Zipcode 14445?,no,no
The State of Iowa contains Zipcode 51014 correct?,yes,no
Is Zipcode 98277 adjacent to and southeast of Zipcode 98278?,yes,no
Is Zipcode 62546 northeast of Zipcode 62560?,yes,yes
Is Zipcode 27893 adjacent to and east of Zipcode 27873?,no,no
Is Zipcode 98394 adjacent to and south of Zipcode 98349?,no,no
Is Zipcode 30802 adjacent to and southwest of Zipcode 30824?,no,no
Is Zipcode 78150 southwest of Zipcode 78108?,yes,yes
Is Zipcode 70525 adjacent to and south of Zipcode 70578?,no,no
Is Zipcode 63134 adjacent to and west of Zipcode 63074?,no,no
Is Zipcode 54457 east of Zipcode 54466?,yes,no
Door County Wisconsin intersects with Zipcode 54217 correct?,yes,no
Is Zipcode 01746 adjacent to and north of Zipcode 01721?,no,no
Is Trumbull County Ohio north of Zipcode 44511?,yes,no
The State of Iowa contains Zipcode 52322 correct?,yes,no
Is Westmoreland County Pennsylvania southwest of Zipcode 15773?,yes,no
Is Zipcode 28343 adjacent to and south of Zipcode 29570?,no,no
Is Zipcode 70806 adjacent to and southeast of Zipcode 70809?,no,no
Is Zipcode 92260 adjacent to and east of Zipcode 92210?,no,no
The State of West Virginia contains Zipcode 24888 correct?,yes,yes
Is Zipcode 95765 northwest of Zipcode 95746?,yes,yes
Is Zipcode 26801 adjacent to and northeast of Zipcode 26812?,yes,no
Is Quebradillas Municipio Puerto Rico adjacent to and southeast of Zipcode 00627?,no,no
Is Zipcode 75491 adjacent to and southwest of Zipcode 75439?,yes,no
Is Zipcode 74136 adjacent to and northeast of Zipcode 74037?,yes,yes
San Bernardino County California has no common ground with Zipcode 92373 correct?,no,no
Is Zipcode 94555 adjacent to and northwest of Zipcode 94560?,yes,no
The State of Virginia contains Zipcode 24221 correct?,yes,no
Evangeline Parish Louisiana has no common ground with Zipcode 70535 correct?,no,no
Is Zipcode 12451 northeast of Zipcode 12463?,yes,yes
Is Zipcode 54635 west of Zipcode 54754?,yes,no
Is Zipcode 16340 northwest of Zipcode 16405?,no,yes
Is Barron County Wisconsin northeast of Zipcode 54867?,no,no
Is Zipcode 78747 adjacent to and west of Zipcode 78719?,yes,no
Is Cullman County Alabama east of Zipcode 35951?,no,yes
Is Zipcode 18346 adjacent to and west of Zipcode 18344?,yes,no
Hennepin County Minnesota is inside of Zipcode 55422 correct?,no,no
Is Zipcode 97068 adjacent to and southwest of Zipcode 97070?,no,no
Is Cabell County West Virginia adjacent to and southeast of Lincoln County West Virginia?,no,no
Is Zipcode 38828 adjacent to and south of Zipcode 38869?,no,yes
Is Zipcode 95329 adjacent to and northeast of Zipcode 95305?,no,no
Is Zipcode 81025 adjacent to and south of Zipcode 80864?,yes,no
Is Park County Montana southeast of Broadwater County Montana?,yes,yes
Is Zipcode 22830 southeast of Zipcode 22834?,no,no
Is Zipcode 52345 adjacent to and northeast of Zipcode 52352?,no,yes
Is Zipcode 32751 adjacent to and south of Zipcode 32701?,yes,no
Is Zipcode 57029 adjacent to and southeast of Zipcode 57070?,no,no
Is Zipcode 75462 adjacent to and south of Zipcode 75450?,no,yes
Is McCulloch County Texas northeast of Zipcode 76801?,no,no
Is Shenandoah County Virginia north of Zipcode 26808?,no,no
